trial,coCond Force(0) Move(1),ffCond0 [N/(mm/s)],ffCond1 [N/(mm/s)],ffCond2 [N/(mm/s)],ffCond3 [N/(mm/s)],ffCond4 [N/(mm/s)],ffCond5 [N/(mm/s)],ffCond6 [N/(mm/s)],ffCond7 [N/(mm/s)],vmCond [deg],targetAngle[deg],targetDistance[mm],targetForce[N],targetColor,errorCramp
1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000
fs[Hz],recordTime[ms],maxSample,ks[N/mm],kb[N/(mm/s)],kConnection[N/mm],dConnection[N/(mm/s)],VisNoisePosSTD,VisNoiseVelSTD,ConnectionType
1000,15000,15001,0.800000,0.000100,0.100000,0.000100,10.0,5.0,0
targetRadius[mm],cursorRadius[mm],pOffset[mm], , ,dOffset
5.000000,3.000000,0.000000,450.000000,10.000000,0.000000,0.000000,0.000000
p2dScale,p2dScaleForForce,p2dMatrix
1.000000,-nan(ind),1.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,1.000000,0.000000
 , , ,
 , , ,
 , , ,
time[ms],instRate[Hz],posX[mm],posY[mm],posZ[mm],velX[mm],velY[mm],velZ[mm],forceX[N],forceY[N],forceZ[N],TargetX,TargetY
10402,994.200378,6.280226,160.362335,-0.373199,-0.098709,-0.079718,0.057587,0.000000,-0.000000,0.298560,13.520400,6.494955
10403,1007.334595,6.280226,160.362335,-0.373199,-0.071717,-0.057918,0.041839,0.000000,-0.000000,0.298560,13.745347,6.613442
10404,995.328857,6.280226,160.362335,-0.373199,-0.052105,-0.042080,0.030398,0.000000,-0.000000,0.298560,13.970083,6.731687
10405,1006.178711,6.280226,160.362335,-0.373199,-0.037857,-0.030573,0.022085,0.000000,-0.000000,0.298560,14.194604,6.849686
10406,986.372070,6.280226,160.362335,-0.373199,-0.027504,-0.022213,0.016046,0.000000,-0.000000,0.298560,14.418908,6.967437
10407,1010.526917,6.280226,160.362335,-0.373199,-0.019983,-0.016138,0.011658,0.000000,-0.000000,0.298560,14.642990,7.084935
10408,1025.596191,6.280226,160.362335,-0.373199,-0.014519,-0.011725,0.008470,0.000000,-0.000000,0.298560,14.866847,7.202177
10409,985.540588,6.280226,160.362335,-0.373199,-0.010548,-0.008519,0.006154,0.000000,-0.000000,0.298560,15.090475,7.319161
10410,970.005249,6.280226,160.362335,-0.373199,-0.007664,-0.006189,0.004471,0.000000,-0.000000,0.298560,15.313873,7.435882
10411,1021.712524,6.280226,160.362335,-0.373199,-0.005568,-0.004497,0.003248,0.000000,-0.000000,0.298560,15.537035,7.552338
10412,1000.438965,6.280226,160.362335,-0.373199,-0.004045,-0.003267,0.002360,0.000000,-0.000000,0.298560,15.759958,7.668525
10413,999.298889,6.280226,160.362335,-0.373199,-0.002939,-0.002374,0.001715,0.000000,-0.000000,0.298560,15.982640,7.784439
