trial,coCond Force(0) Move(1),ffCond0 [N/(mm/s)],ffCond1 [N/(mm/s)],ffCond2 [N/(mm/s)],ffCond3 [N/(mm/s)],ffCond4 [N/(mm/s)],ffCond5 [N/(mm/s)],ffCond6 [N/(mm/s)],ffCond7 [N/(mm/s)],vmCond [deg],targetAngle[deg],targetDistance[mm],targetForce[N],targetColor,errorCramp
1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000
fs[Hz],recordTime[ms],maxSample,ks[N/mm],kb[N/(mm/s)],kConnection[N/mm],dConnection[N/(mm/s)],VisNoisePosSTD,VisNoiseVelSTD,ConnectionType
1000,15000,15001,0.800000,0.000100,0.100000,0.000100,10.0,5.0,0
targetRadius[mm],cursorRadius[mm],pOffset[mm], , ,dOffset
5.000000,3.000000,0.000000,450.000000,10.000000,0.000000,0.000000,0.000000
p2dScale,p2dScaleForForce,p2dMatrix
1.000000,-nan(ind),1.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,1.000000,0.000000
 , , ,
 , , ,
 , , ,
time[ms],instRate[Hz],posX[mm],posY[mm],posZ[mm],velX[mm],velY[mm],velZ[mm],forceX[N],forceY[N],forceZ[N],TargetX,TargetY
11494,965.998047,1.872497,-1.860784,-0.127747,0.000204,-0.023869,-0.158245,0.000000,-0.000000,0.096851,4.676474,9.860210
11495,1044.843262,1.872497,-1.860784,-0.127747,0.001271,-0.150073,-0.994959,0.000000,-0.000000,0.102197,4.784067,10.091915
11496,1051.105469,1.872497,-1.860784,-0.127747,0.000923,-0.109035,-0.722880,0.000000,-0.000000,0.102197,4.891062,10.323404
11497,998.729797,1.872497,-1.860784,-0.127747,0.000671,-0.079218,-0.525203,0.000000,-0.000000,0.102197,4.997458,10.554673
11498,983.330261,1.872497,-1.860784,-0.127747,0.000487,-0.057556,-0.381582,0.000000,-0.000000,0.102197,5.103253,10.785716
11499,1004.737610,1.872497,-1.860784,-0.127747,0.000354,-0.041817,-0.277236,0.000000,-0.000000,0.102197,5.208447,11.016528
11500,1003.874939,1.872489,-1.859778,-0.121063,-0.000909,0.107578,0.713064,0.000000,-0.000000,0.102197,5.313037,11.247106
11501,985.263794,1.872489,-1.859778,-0.121063,-0.001828,0.216125,1.432558,0.000000,-0.000000,0.096851,5.417024,11.477443
11502,982.779236,1.872489,-1.859778,-0.121063,-0.001328,0.157024,1.040814,0.000000,-0.000000,0.096851,5.520405,11.707535
11503,985.540588,1.872489,-1.859778,-0.121063,-0.000965,0.114085,0.756196,0.000000,-0.000000,0.096851,5.623179,11.937376
11504,967.063416,1.872489,-1.859778,-0.121063,-0.000701,0.082887,0.549409,0.000000,-0.000000,0.096851,5.725346,12.166963
11505,998.729797,1.872497,-1.860784,-0.127747,0.000651,-0.077021,-0.510634,0.000000,-0.000000,0.096851,5.826903,12.396290
11506,1000.438965,1.878576,-1.860732,-0.127747,0.833231,-0.186132,-1.280801,0.000000,-0.000000,0.102197,5.927850,12.625352
11507,1000.153687,1.878576,-1.860732,-0.127747,1.436970,-0.128177,-0.930556,0.000000,-0.000000,0.102197,6.028186,12.854144
11508,985.540588,1.878576,-1.860732,-0.127747,1.044020,-0.093126,-0.676089,0.000000,-0.000000,0.102197,6.127910,13.082662
11509,1001.010010,1.878576,-1.860732,-0.127747,0.758525,-0.067660,-0.491207,0.000000,-0.000000,0.102197,6.227020,13.310900
11510,1050.161377,1.878576,-1.860732,-0.127747,0.551101,-0.049158,-0.356883,0.000000,-0.000000,0.102197,6.325516,13.538854
11511,1000.153687,1.878568,-1.859727,-0.121063,0.399230,0.101730,0.651807,0.000000,-0.000000,0.102197,6.423395,13.766519
11512,964.139343,1.878568,-1.859727,-0.121063,0.288891,0.211366,1.384663,0.000000,-0.000000,0.096851,6.520659,13.993890
11513,1090.313599,1.878568,-1.859727,-0.121063,0.209892,0.153566,1.006016,0.000000,-0.000000,0.096851,6.617304,14.220961
11514,1007.913513,1.878576,-1.860732,-0.127747,0.153671,-0.026942,-0.187253,0.000000,-0.000000,0.096851,6.713330,14.447729
11515,917.723450,1.878576,-1.860732,-0.127747,0.112824,-0.158066,-1.054217,0.000000,-0.000000,0.102197,6.808737,14.674188
11516,1000.153687,1.878576,-1.860732,-0.127747,0.081971,-0.114842,-0.765934,0.000000,-0.000000,0.102197,6.903522,14.900334
11517,1000.153687,1.878576,-1.860732,-0.127747,0.059556,-0.083437,-0.556483,0.000000,-0.000000,0.102197,6.997686,15.126162
11518,984.987061,1.878576,-1.860732,-0.127747,0.043270,-0.060621,-0.404309,0.000000,-0.000000,0.102197,7.091227,15.351666
11519,1047.651978,1.878576,-1.860732,-0.127747,0.031437,-0.044044,-0.293748,0.000000,-0.000000,0.102197,7.184144,15.576842
11520,1007.045349,1.878568,-1.859727,-0.121063,0.021666,0.106395,0.703956,0.000000,-0.000000,0.102197,7.276436,15.801686
11521,1000.438965,1.878568,-1.859727,-0.121063,0.014567,0.215702,1.428829,0.000000,-0.000000,0.096851,7.368103,16.026192
11522,999.014221,1.878568,-1.859727,-0.121063,0.010584,0.156717,1.038105,0.000000,-0.000000,0.096851,7.459143,16.250355
11523,1000.438965,1.878568,-1.859727,-0.121063,0.007689,0.113861,0.754227,0.000000,-0.000000,0.096851,7.549556,16.474172
11524,999.298889,1.884647,-1.859675,-0.121063,0.836225,0.089796,0.547978,0.000000,-0.000000,0.096851,7.639341,16.697636
11525,1000.724365,1.884656,-1.860681,-0.127747,1.439371,-0.065205,-0.513490,0.000000,-0.000000,0.096851,7.728496,16.920744
11526,1053.631470,1.884656,-1.860681,-0.127747,1.046934,-0.184878,-1.284693,0.000000,-0.000000,0.102197,7.817021,17.143490
11527,950.552551,1.884656,-1.860681,-0.127747,0.760642,-0.134321,-0.933384,0.000000,-0.000000,0.102197,7.904915,17.365870
11528,992.512451,1.884656,-1.860681,-0.127747,0.552639,-0.097590,-0.678143,0.000000,-0.000000,0.102197,7.992178,17.587879
11529,1001.867737,1.884656,-1.860681,-0.127747,0.401516,-0.070903,-0.492700,0.000000,-0.000000,0.102197,8.078808,17.809513
11530,1060.320190,1.884656,-1.860681,-0.127747,0.291718,-0.051514,-0.357968,0.000000,-0.000000,0.102197,8.164805,18.030766
11531,949.009460,1.884656,-1.860681,-0.127747,0.211946,-0.037427,-0.260079,0.000000,-0.000000,0.102197,8.250168,18.251633
11532,1002.153992,1.884647,-1.859675,-0.121063,0.152815,0.110530,0.723962,0.000000,-0.000000,0.102197,8.334896,18.472111
11533,1001.581665,1.884647,-1.859675,-0.121063,0.109854,0.218034,1.438908,0.000000,-0.000000,0.096851,8.418988,18.692194
11534,1018.744995,1.890727,-1.859623,-0.121063,0.926614,0.165645,1.045428,0.000000,-0.000000,0.096851,8.502444,18.911878
11535,980.307129,1.890727,-1.859623,-0.121063,1.520028,0.127579,0.759548,0.000000,-0.000000,0.096851,8.585264,19.131157
11536,1000.438965,1.890735,-1.860628,-0.127747,1.105544,-0.044790,-0.359515,0.000000,-0.000000,0.096851,8.667445,19.350028
11537,1000.724365,1.890735,-1.860628,-0.127747,0.804399,-0.170006,-1.172564,0.000000,-0.000000,0.102197,8.748988,19.568486
11538,991.951050,1.890735,-1.860628,-0.127747,0.584430,-0.123517,-0.851918,0.000000,-0.000000,0.102197,8.829893,19.786525
11539,1000.438965,1.890735,-1.860628,-0.127747,0.424613,-0.089740,-0.618954,0.000000,-0.000000,0.102197,8.910157,20.004142
11540,1006.178711,1.890735,-1.860628,-0.127747,0.308500,-0.065200,-0.449697,0.000000,-0.000000,0.102197,8.989782,20.221331
11541,1057.124512,1.896815,-1.860577,-0.127747,1.102849,-0.039837,-0.326724,0.000000,-0.000000,0.102197,9.068765,20.438088
11542,946.448730,1.896815,-1.860577,-0.127747,1.679977,-0.021415,-0.237379,0.000000,-0.000000,0.102197,9.147108,20.654409
11543,1003.013733,1.896815,-1.860577,-0.127747,1.220575,-0.015559,-0.172466,0.000000,-0.000000,0.102197,9.224808,20.870288
11544,999.014221,1.896815,-1.860577,-0.127747,0.886800,-0.011304,-0.125304,0.000000,-0.000000,0.102197,9.301865,21.085721
11545,1000.438965,1.896815,-1.860577,-0.127747,0.644298,-0.008213,-0.091038,0.000000,-0.000000,0.102197,9.378280,21.300704
11546,1053.947998,1.896815,-1.860577,-0.127747,0.468110,-0.005967,-0.066143,0.000000,-0.000000,0.102197,9.454050,21.515232
11547,999.868591,1.896815,-1.860577,-0.127747,0.340102,-0.004335,-0.048056,0.000000,-0.000000,0.102197,9.529177,21.729300
11548,941.115906,1.896757,-1.853854,-0.127289,0.239680,0.861842,0.023863,0.000000,-0.000000,0.102197,9.603659,21.942904
11549,1003.874939,1.902836,-1.853802,-0.127289,1.001109,1.498333,0.076115,0.000000,-0.000000,0.101831,9.677495,22.156038
11550,1006.756287,1.902836,-1.853802,-0.127289,1.561770,1.095774,0.055301,0.000000,-0.000000,0.101831,9.750686,22.368700
11551,998.729797,1.902836,-1.853802,-0.127289,1.134692,0.796126,0.040178,0.000000,-0.000000,0.101831,9.823231,22.580884
11552,999.868591,1.902836,-1.853802,-0.127289,0.824402,0.578420,0.029191,0.000000,-0.000000,0.101831,9.895129,22.792585
11553,1001.295776,1.902836,-1.853802,-0.127289,0.598963,0.420246,0.021209,0.000000,-0.000000,0.101831,9.966381,23.003799
11554,1001.010010,1.902836,-1.853802,-0.127289,0.435172,0.305327,0.015409,0.000000,-0.000000,0.101831,10.036985,23.214521
11555,999.014221,1.902836,-1.853802,-0.127289,0.316171,0.221833,0.011195,0.000000,-0.000000,0.101831,10.106941,23.424748
11556,999.583618,1.908915,-1.853750,-0.127289,1.060562,0.168341,0.008134,0.000000,-0.000000,0.101831,10.176249,23.634474
11557,999.868591,1.908915,-1.853750,-0.127289,1.601399,0.129470,0.005910,0.000000,-0.000000,0.101831,10.244909,23.843695
11558,993.074463,1.908915,-1.853750,-0.127289,1.163484,0.094066,0.004294,0.000000,-0.000000,0.101831,10.312920,24.052406
11559,1001.295776,1.908915,-1.853750,-0.127289,0.845321,0.068343,0.003119,0.000000,-0.000000,0.101831,10.380282,24.260604
11560,1006.467407,1.908915,-1.853750,-0.127289,0.614161,0.049654,0.002266,0.000000,-0.000000,0.101831,10.446994,24.468283
11561,999.583618,1.908915,-1.853750,-0.127289,0.446214,0.036076,0.001647,0.000000,-0.000000,0.101831,10.513057,24.675439
11562,999.868591,1.914995,-1.853697,-0.127289,1.155285,0.033408,0.001196,0.000000,-0.000000,0.101831,10.578469,24.882068
11563,1054.898926,1.914995,-1.853697,-0.127289,1.670455,0.031461,0.000869,0.000000,-0.000000,0.101831,10.643232,25.088166
11564,957.036560,1.914986,-1.852693,-0.120605,1.212513,0.154386,0.872451,0.000000,-0.000000,0.101831,10.707344,25.293727
11565,991.670654,1.914986,-1.852693,-0.120605,0.879805,0.243696,1.505691,0.000000,-0.000000,0.096484,10.770805,25.498748
11566,1000.724365,1.921065,-1.852639,-0.120605,1.471010,0.184290,1.093949,0.000000,-0.000000,0.096484,10.833615,25.703223
11567,1000.153687,1.921065,-1.852639,-0.120605,1.900550,0.141112,0.794800,0.000000,-0.000000,0.096484,10.895774,25.907150
11568,991.951050,1.921074,-1.853644,-0.127289,1.382020,-0.033792,-0.326170,0.000000,-0.000000,0.096484,10.957282,26.110523
11569,1001.010010,1.927153,-1.853592,-0.127289,1.837323,-0.153579,-1.140605,0.000000,-0.000000,0.101831,11.018138,26.313338
11570,1005.890137,1.927153,-1.853592,-0.127289,2.166933,-0.104339,-0.828698,0.000000,-0.000000,0.101831,11.078342,26.515591
11571,1000.438965,1.927153,-1.853592,-0.127289,1.574369,-0.075807,-0.602085,0.000000,-0.000000,0.101831,11.137895,26.717277
11572,999.298889,1.933232,-1.853539,-0.127289,1.974465,-0.047793,-0.437440,0.000000,-0.000000,0.101831,11.196796,26.918392
11573,1001.295776,1.933232,-1.853539,-0.127289,2.265150,-0.027471,-0.317819,0.000000,-0.000000,0.101831,11.255045,27.118932
11574,999.298889,1.933232,-1.853539,-0.127289,1.645728,-0.019959,-0.230909,0.000000,-0.000000,0.101831,11.312642,27.318892
11575,999.868591,1.939303,-1.852481,-0.120605,2.025570,0.130221,0.743073,0.000000,-0.000000,0.101831,11.369586,27.518269
11576,1000.153687,1.939303,-1.852481,-0.120605,2.301546,0.239305,1.450711,0.000000,-0.000000,0.096484,11.425879,27.717057
11577,999.583618,1.945382,-1.852427,-0.120605,2.503016,0.181212,1.054003,0.000000,-0.000000,0.096484,11.481519,27.915253
11578,993.355713,1.945382,-1.852427,-0.120605,2.649398,0.138958,0.765778,0.000000,-0.000000,0.096484,11.536507,28.112853
11579,1001.010010,1.951461,-1.852374,-0.120605,2.756933,0.108346,0.556370,0.000000,-0.000000,0.096484,11.590843,28.309851
11580,1060.640747,1.951461,-1.852374,-0.120605,2.835064,0.086051,0.404227,0.000000,-0.000000,0.096484,11.644526,28.506245
11581,948.496216,1.957540,-1.852320,-0.120605,2.848179,0.069547,0.293688,0.000000,-0.000000,0.096484,11.697558,28.702029
11582,1002.153992,1.963619,-1.852266,-0.120605,3.690693,0.064966,0.213377,0.000000,-0.000000,0.096484,11.749937,28.897200
11583,1000.153687,1.963619,-1.852266,-0.120605,3.514431,0.054588,0.155027,0.000000,-0.000000,0.096484,11.801664,29.091754
11584,1006.467407,1.969698,-1.852212,-0.120605,3.389954,0.047173,0.112634,0.000000,-0.000000,0.096484,11.852739,29.285685
11585,994.200378,1.969698,-1.852212,-0.120605,3.299517,0.041716,0.081833,0.000000,-0.000000,0.096484,11.903162,29.478991
11586,999.583618,1.975787,-1.853163,-0.127289,3.229328,-0.099559,-0.851126,0.000000,-0.000000,0.096484,11.952933,29.671667
11587,999.014221,1.981866,-1.853108,-0.127289,4.008707,-0.194745,-1.528961,0.000000,-0.000000,0.101831,12.002052,29.863708
11588,991.110229,1.987945,-1.853054,-0.127289,4.566689,-0.126558,-1.110855,0.000000,-0.000000,0.101831,12.050520,30.055111
11589,1002.153992,1.987936,-1.852049,-0.120605,4.140447,0.053149,0.105839,0.000000,-0.000000,0.101831,12.098337,30.245872
11590,1007.045349,1.994015,-1.851995,-0.120605,3.844020,0.183965,0.989816,0.000000,-0.000000,0.096484,12.145502,30.435986
11591,999.298889,2.000094,-1.851940,-0.120605,4.460502,0.148800,0.719143,0.000000,-0.000000,0.096484,12.192016,30.625450
11592,1000.724365,2.006173,-1.851885,-0.120605,4.903149,0.123262,0.522488,0.000000,-0.000000,0.096484,12.237879,30.814259
11593,999.298889,2.006173,-1.851885,-0.120605,4.394143,0.097092,0.379610,0.000000,-0.000000,0.096484,12.283092,31.002410
11594,1053.947998,2.012252,-1.851830,-0.120605,4.068564,0.078591,0.275803,0.000000,-0.000000,0.096484,12.327654,31.189898
11595,1003.874939,2.018332,-1.851774,-0.120605,4.666433,0.072774,0.200382,0.000000,-0.000000,0.096484,12.371566,31.376719
11596,995.611389,2.024411,-1.851719,-0.120605,5.052320,0.068163,0.145586,0.000000,-0.000000,0.096484,12.414828,31.562870
11597,1014.325928,2.024411,-1.851719,-0.120605,4.498271,0.057090,0.105775,0.000000,-0.000000,0.096484,12.457441,31.748346
11598,980.855408,2.030490,-1.851663,-0.120605,4.083465,0.049045,0.076850,0.000000,-0.000000,0.096484,12.499404,31.933143
11599,997.877380,2.036569,-1.851607,-0.120605,4.611518,0.050844,0.055835,0.000000,-0.000000,0.096484,12.540718,32.117257
11600,1009.654297,2.042648,-1.851551,-0.120605,5.019109,0.052427,0.040566,0.000000,-0.000000,0.096484,12.581384,32.300685
11601,1001.295776,2.042648,-1.851551,-0.120605,4.485814,0.045833,0.029473,0.000000,-0.000000,0.096484,12.621401,32.483423
11602,986.094727,2.048727,-1.851495,-0.120605,4.078768,0.040974,0.021413,0.000000,-0.000000,0.096484,12.660770,32.665466
