trial,coCond Force(0) Move(1),ffCond0 [N/(mm/s)],ffCond1 [N/(mm/s)],ffCond2 [N/(mm/s)],ffCond3 [N/(mm/s)],ffCond4 [N/(mm/s)],ffCond5 [N/(mm/s)],ffCond6 [N/(mm/s)],ffCond7 [N/(mm/s)],vmCond [deg],targetAngle[deg],targetDistance[mm],targetForce[N],targetColor,errorCramp
1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000
fs[Hz],recordTime[ms],maxSample,ks[N/mm],kb[N/(mm/s)],kConnection[N/mm],dConnection[N/(mm/s)],VisNoisePosSTD,VisNoiseVelSTD,ConnectionType
1000,15000,15001,0.800000,0.000100,0.100000,0.000100,10.0,5.0,0
targetRadius[mm],cursorRadius[mm],pOffset[mm], , ,dOffset
5.000000,3.000000,0.000000,450.000000,10.000000,0.000000,0.000000,0.000000
p2dScale,p2dScaleForForce,p2dMatrix
1.000000,-nan(ind),1.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,1.000000,0.000000
 , , ,
 , , ,
 , , ,
time[ms],instRate[Hz],posX[mm],posY[mm],posZ[mm],velX[mm],velY[mm],velZ[mm],forceX[N],forceY[N],forceZ[N],TargetX,TargetY
9907,955.732727,1.585951,-1.749614,-2.087555,3.327637,-0.833366,-0.056612,0.000000,-0.000000,1.670044,8.342789,20.992520
9908,990.830200,1.592028,-1.749570,-2.087555,3.240878,-0.599488,-0.041131,0.000000,-0.000000,1.670044,8.500414,21.307813
9909,1002.440430,1.598104,-1.749526,-2.087555,4.010676,-0.423530,-0.029883,0.000000,-0.000000,1.670044,8.658441,21.622758
9910,1006.756287,1.598104,-1.749526,-2.087555,3.746764,-0.301698,-0.021712,0.000000,-0.000000,1.670044,8.816866,21.937348
9911,999.868591,1.604181,-1.749482,-2.087555,3.552890,-0.213100,-0.015774,0.000000,-0.000000,1.670044,8.975688,22.251578
9912,1000.438965,1.610257,-1.749438,-2.087555,4.243204,-0.142663,-0.011461,0.000000,-0.000000,1.670044,9.134903,22.565445
9913,999.868591,1.616333,-1.749393,-2.087555,4.744745,-0.091428,-0.008327,0.000000,-0.000000,1.670044,9.294509,22.878941
9914,999.583618,1.616333,-1.749393,-2.087555,4.277959,-0.060359,-0.006050,0.000000,-0.000000,1.670044,9.454504,23.192063
9915,1000.438965,1.622409,-1.749350,-2.087555,3.939294,-0.037675,-0.004395,0.000000,-0.000000,1.670044,9.614885,23.504805
9916,999.868591,1.628486,-1.749305,-2.087555,4.523939,-0.015064,-0.003193,0.000000,-0.000000,1.670044,9.775648,23.817162
9917,998.445496,1.634513,-1.742537,-2.087097,4.940122,0.919219,0.058268,0.000000,-0.000000,1.670044,9.936792,24.129130
9918,1027.699707,1.640589,-1.742492,-2.087097,5.265674,1.598241,0.102922,0.000000,-0.000000,1.669678,10.098313,24.440702
9919,1026.797119,1.646665,-1.742447,-2.087097,5.532545,1.173996,0.074777,0.000000,-0.000000,1.669678,10.260210,24.751874
9920,948.496216,1.652741,-1.742401,-2.087097,5.660646,0.865324,0.054329,0.000000,-0.000000,1.669678,10.422479,25.062641
9921,1002.153992,1.658817,-1.742356,-2.087097,5.733250,0.640956,0.039472,0.000000,-0.000000,1.669678,10.585117,25.372998
9922,999.014221,1.664893,-1.742311,-2.087097,5.827973,0.478304,0.028678,0.000000,-0.000000,1.669678,10.748122,25.682939
9923,1017.267700,1.670969,-1.742265,-2.087097,5.909352,0.360273,0.020836,0.000000,-0.000000,1.669678,10.911492,25.992460
9924,984.157959,1.677045,-1.742219,-2.087097,5.956138,0.274473,0.015138,0.000000,-0.000000,1.669678,11.075223,26.301556
9925,1000.153687,1.683122,-1.742172,-2.087097,5.975913,0.212073,0.010999,0.000000,-0.000000,1.669678,11.239312,26.610222
9926,999.583618,1.695274,-1.742080,-2.087097,6.833528,0.173408,0.007991,0.000000,-0.000000,1.669678,11.403757,26.918452
9927,999.298889,1.701350,-1.742033,-2.087097,7.455915,0.145276,0.005806,0.000000,-0.000000,1.669678,11.568556,27.226242
9928,992.793396,1.707426,-1.741986,-2.087097,7.072030,0.118468,0.004218,0.000000,-0.000000,1.669678,11.733704,27.533587
9929,1001.010010,1.713502,-1.741940,-2.087097,6.794543,0.099039,0.003065,0.000000,-0.000000,1.669678,11.899201,27.840482
9930,1007.045349,1.719578,-1.741892,-2.087097,6.604777,0.085055,0.002227,0.000000,-0.000000,1.669678,12.065042,28.146921
9931,999.868591,1.725654,-1.741845,-2.087097,6.465955,0.074930,0.001618,0.000000,-0.000000,1.669678,12.231224,28.452900
9932,999.298889,1.731731,-1.741797,-2.087097,6.358660,0.067566,0.001175,0.000000,-0.000000,1.669678,12.397746,28.758414
9933,999.868591,1.737807,-1.741750,-2.087097,6.280705,0.062259,0.000854,0.000000,-0.000000,1.669678,12.564604,29.063458
9934,999.868591,1.743883,-1.741702,-2.087097,6.224540,0.058451,0.000620,0.000000,-0.000000,1.669678,12.731796,29.368027
9935,1046.714111,1.756035,-1.741606,-2.087097,7.092240,0.063108,0.000451,0.000000,-0.000000,1.669678,12.899318,29.672115
9936,1014.032654,1.762111,-1.741558,-2.087097,7.734429,0.066549,0.000327,0.000000,-0.000000,1.669678,13.067168,29.975719
9937,942.886841,1.768134,-1.734786,-2.086670,7.238013,0.928232,0.057426,0.000000,-0.000000,1.669678,13.235343,30.278834
9938,993.918701,1.774210,-1.734737,-2.086670,6.860766,1.554182,0.098910,0.000000,-0.000000,1.669336,13.403840,30.581453
9939,1001.010010,1.780285,-1.734689,-2.086670,6.641902,1.142650,0.071863,0.000000,-0.000000,1.669336,13.572655,30.883573
9940,1005.890137,1.786361,-1.734640,-2.086670,6.492842,0.843775,0.052211,0.000000,-0.000000,1.669336,13.741787,31.185189
9941,999.868591,1.792437,-1.734591,-2.086670,6.383600,0.626665,0.037934,0.000000,-0.000000,1.669336,13.911233,31.486295
9942,1000.438965,1.798513,-1.734541,-2.086670,6.299707,0.468932,0.027560,0.000000,-0.000000,1.669336,14.080988,31.786888
9943,1001.010010,1.804589,-1.734492,-2.086670,6.239706,0.354385,0.020024,0.000000,-0.000000,1.669336,14.251052,32.086961
9944,999.014221,1.810665,-1.734442,-2.086670,6.194931,0.271195,0.014548,0.000000,-0.000000,1.669336,14.421419,32.386511
9945,1000.153687,1.816741,-1.734392,-2.086670,6.161690,0.210794,0.010570,0.000000,-0.000000,1.669336,14.592089,32.685531
9946,1000.438965,1.822817,-1.734343,-2.086670,6.138724,0.166964,0.007679,0.000000,-0.000000,1.669336,14.763057,32.984019
9947,1000.153687,1.822817,-1.734343,-2.086670,5.291161,0.128153,0.005579,0.000000,-0.000000,1.669336,14.934321,33.281968
9948,991.390320,1.828893,-1.734292,-2.086670,4.667851,0.100021,0.004054,0.000000,-0.000000,1.669336,15.105877,33.579374
9949,1000.438965,1.834969,-1.734242,-2.086670,5.046107,0.086484,0.002945,0.000000,-0.000000,1.669336,15.277724,33.876233
9950,1007.045349,1.840989,-1.727468,-2.086212,5.326068,1.002523,0.063188,0.000000,-0.000000,1.669336,15.449857,34.172539
9951,999.298889,1.840989,-1.727468,-2.086212,4.698493,1.661050,0.106959,0.000000,-0.000000,1.668970,15.622274,34.468287
9952,1041.740112,1.847064,-1.727418,-2.086212,4.279023,1.214141,0.077710,0.000000,-0.000000,1.668970,15.794972,34.763473
9953,960.706360,1.853140,-1.727367,-2.086212,4.772354,0.896142,0.056460,0.000000,-0.000000,1.668970,15.967948,35.058093
9954,1001.010010,1.853140,-1.727367,-2.086212,4.265402,0.657769,0.041020,0.000000,-0.000000,1.668970,16.141198,35.352141
9955,1000.153687,1.859216,-1.727316,-2.086212,3.929837,0.484963,0.029803,0.000000,-0.000000,1.668970,16.314721,35.645613
9956,1045.777832,1.865235,-1.720542,-2.085785,4.546551,1.328071,0.085009,0.000000,-0.000000,1.668970,16.488512,35.938504
9957,956.775513,1.865235,-1.720542,-2.085785,4.163888,1.933543,0.125130,0.000000,-0.000000,1.668628,16.662569,36.230809
9958,992.793396,1.871311,-1.720490,-2.085785,3.849917,1.411859,0.090912,0.000000,-0.000000,1.668628,16.836889,36.522524
9959,1001.581665,1.871311,-1.720490,-2.085785,3.621843,1.032750,0.066052,0.000000,-0.000000,1.668628,17.011468,36.813644
9960,1006.756287,1.877329,-1.713716,-2.085327,3.459758,1.682957,0.108938,0.000000,-0.000000,1.668628,17.186305,37.104165
9961,999.014221,1.877329,-1.713716,-2.085327,3.342097,2.155286,0.140121,0.000000,-0.000000,1.668262,17.361394,37.394081
9962,1000.438965,1.883404,-1.713664,-2.085327,3.259172,1.573048,0.101804,0.000000,-0.000000,1.668262,17.536735,37.683388
9963,999.868591,1.883347,-1.706942,-2.084900,3.191046,2.069082,0.134455,0.000000,-0.000000,1.668262,17.712322,37.972082
9964,999.868591,1.889422,-1.706889,-2.084900,3.141081,2.429554,0.158213,0.000000,-0.000000,1.667920,17.888154,38.260158
9965,999.583618,1.889422,-1.706889,-2.084900,3.112669,1.772266,0.114948,0.000000,-0.000000,1.667920,18.064228,38.547611
9966,1000.153687,1.895440,-1.700114,-2.084442,3.084258,2.214193,0.143988,0.000000,-0.000000,1.667920,18.240539,38.834437
9967,1000.438965,1.895440,-1.700114,-2.084442,3.063720,2.535207,0.165127,0.000000,-0.000000,1.667554,18.417086,39.120630
9968,1011.401123,1.901457,-1.693339,-2.084015,3.057882,2.778946,0.181077,0.000000,-0.000000,1.667554,18.593865,39.406188
9969,1041.430786,1.901399,-1.686616,-2.083557,3.045438,3.913306,0.255580,0.000000,-0.000000,1.667212,18.770872,39.691105
9970,949.266296,1.907474,-1.686563,-2.083557,2.992744,3.807374,0.248639,0.000000,-0.000000,1.666846,18.948106,39.975376
9971,1001.867737,1.907416,-1.679841,-2.083130,2.954760,3.693988,0.241087,0.000000,-0.000000,1.666846,19.125562,40.258997
9972,998.729797,1.907416,-1.679841,-2.083130,2.138818,3.604805,0.235689,0.000000,-0.000000,1.666504,19.303237,40.541963
9973,1034.977539,1.913432,-1.673065,-2.082672,2.405166,3.577931,0.233652,0.000000,-0.000000,1.666504,19.481129,40.824271
9974,966.264160,1.913374,-1.666342,-2.082245,2.591036,4.446605,0.290463,0.000000,-0.000000,1.666138,19.659234,41.105915
9975,1001.581665,1.913374,-1.666342,-2.082245,1.874815,4.118889,0.269354,0.000000,-0.000000,1.665796,19.837549,41.386891
9976,999.868591,1.913316,-1.659618,-2.081787,1.354141,3.911687,0.255921,0.000000,-0.000000,1.665796,20.016070,41.667195
9977,999.014221,1.919390,-1.659566,-2.081787,1.805441,3.768367,0.246256,0.000000,-0.000000,1.665430,20.194796,41.946822
9978,989.432739,1.919332,-1.652843,-2.081360,2.133425,3.654625,0.238488,0.000000,-0.000000,1.665430,20.373722,42.225768
9979,1005.890137,1.919273,-1.646119,-2.080902,1.534061,4.489462,0.293441,0.000000,-0.000000,1.665088,20.552846,42.504029
9980,1003.300659,1.919215,-1.639397,-2.080475,1.098500,5.108761,0.334123,0.000000,-0.000000,1.664722,20.732163,42.781599
9981,1001.581665,1.919215,-1.639397,-2.080475,0.790105,4.634027,0.303192,0.000000,-0.000000,1.664380,20.911672,43.058475
9982,999.298889,1.919156,-1.632673,-2.080017,0.566055,4.285442,0.280340,0.000000,-0.000000,1.664380,21.091368,43.334652
9983,1000.438965,1.919156,-1.632673,-2.080017,0.403293,4.032174,0.263846,0.000000,-0.000000,1.664014,21.271249,43.610126
9984,999.298889,1.919098,-1.625950,-2.079590,0.285029,3.848171,0.251738,0.000000,-0.000000,1.664014,21.451312,43.884892
9985,1046.401855,1.919040,-1.619226,-2.079163,0.190761,4.676409,0.305857,0.000000,-0.000000,1.663672,21.631552,44.158947
9986,1016.383362,1.919040,-1.619226,-2.079163,0.130250,4.359531,0.285158,0.000000,-0.000000,1.663330,21.811968,44.432285
9987,942.127075,1.918981,-1.612503,-2.078705,0.087114,4.033459,0.263719,0.000000,-0.000000,1.663330,21.992555,44.704904
9988,992.793396,1.918981,-1.612503,-2.078705,0.055777,3.796547,0.248244,0.000000,-0.000000,1.662964,22.173311,44.976797
9989,999.583618,1.918923,-1.605780,-2.078278,0.032549,3.677245,0.240336,0.000000,-0.000000,1.662964,22.354232,45.247962
9990,1008.203247,1.918923,-1.605780,-2.078278,0.015676,3.590562,0.234680,0.000000,-0.000000,1.662622,22.535315,45.518393
9991,999.014221,1.912793,-1.599110,-2.077820,-0.825910,3.519893,0.230423,0.000000,-0.000000,1.662622,22.716557,45.788087
9992,1000.438965,1.912793,-1.599110,-2.077820,-1.437429,3.468544,0.227414,0.000000,-0.000000,1.662256,22.897954,46.057039
9993,999.298889,1.912734,-1.592386,-2.077393,-1.052268,3.438680,0.225134,0.000000,-0.000000,1.662256,23.079504,46.325246
9994,999.014221,1.912734,-1.592386,-2.077393,-0.772463,3.416976,0.223559,0.000000,-0.000000,1.661914,23.261203,46.592702
9995,1001.867737,1.912734,-1.592386,-2.077393,-0.561227,2.482579,0.162425,0.000000,-0.000000,1.661914,23.443047,46.859404
9996,999.583618,1.912734,-1.592386,-2.077393,-0.407755,1.803699,0.118009,0.000000,-0.000000,1.661914,23.625034,47.125348
9997,999.298889,1.912676,-1.585663,-2.076965,-0.304188,2.229098,0.145656,0.000000,-0.000000,1.661914,23.807160,47.390529
9998,992.231689,1.912676,-1.585663,-2.076965,-0.228951,2.538166,0.165785,0.000000,-0.000000,1.661572,23.989422,47.654944
9999,1001.581665,1.912676,-1.585663,-2.076965,-0.166343,1.844086,0.120450,0.000000,-0.000000,1.661572,24.171817,47.918587
10000,1008.493103,1.912676,-1.585663,-2.076965,-0.120855,1.339807,0.087512,0.000000,-0.000000,1.661572,24.354341,48.181456
10001,997.877380,1.912676,-1.585663,-2.076965,-0.087806,0.973426,0.063581,0.000000,-0.000000,1.661572,24.536991,48.443546
10002,1062.246826,1.912676,-1.585663,-2.076965,-0.063795,0.707236,0.046194,0.000000,-0.000000,1.661572,24.719764,48.704852
10003,999.014221,1.912676,-1.585663,-2.076965,-0.046350,0.513837,0.033562,0.000000,-0.000000,1.661572,24.902657,48.965372
10004,979.485901,1.912676,-1.585663,-2.076965,-0.033675,0.373324,0.024384,0.000000,-0.000000,1.661572,25.085666,49.225100
10005,1002.440430,1.912676,-1.585663,-2.076965,-0.024466,0.271236,0.017716,0.000000,-0.000000,1.661572,25.268787,49.484033
10006,1001.581665,1.912676,-1.585663,-2.076965,-0.017776,0.197064,0.012872,0.000000,-0.000000,1.661572,25.452018,49.742167
10007,1003.013733,1.912676,-1.585663,-2.076965,-0.012915,0.143176,0.009352,0.000000,-0.000000,1.661572,25.635355,49.999498
10008,948.239807,1.912676,-1.585663,-2.076965,-0.009383,0.104023,0.006794,0.000000,-0.000000,1.661572,25.818796,50.256022
10009,1001.581665,1.912676,-1.585663,-2.076965,-0.006817,0.075577,0.004936,0.000000,-0.000000,1.661572,26.002336,50.511734
10010,1009.073364,1.912676,-1.585663,-2.076965,-0.004953,0.054910,0.003587,0.000000,-0.000000,1.661572,26.185972,50.766632
10011,1000.438965,1.912676,-1.585663,-2.076965,-0.003599,0.039895,0.002606,0.000000,-0.000000,1.661572,26.369701,51.020710
10012,999.868591,1.912676,-1.585663,-2.076965,-0.002615,0.028985,0.001893,0.000000,-0.000000,1.661572,26.553519,51.273966
10013,999.868591,1.912676,-1.585663,-2.076965,-0.001900,0.021059,0.001375,0.000000,-0.000000,1.661572,26.737424,51.526395
10014,1046.401855,1.912676,-1.585663,-2.076965,-0.001380,0.015300,0.000999,0.000000,-0.000000,1.661572,26.921412,51.777993
10015,1014.325928,1.912676,-1.585663,-2.076965,-0.001003,0.011116,0.000726,0.000000,-0.000000,1.661572,27.105480,52.028756
10016,1001.867737,1.906604,-1.585715,-2.076965,-0.832474,0.000905,0.000528,0.000000,-0.000000,1.661572,27.289623,52.278681
10017,1000.438965,1.906604,-1.585715,-2.076965,-1.436573,-0.006514,0.000383,0.000000,-0.000000,1.661572,27.473840,52.527764
10018,975.400146,1.906604,-1.585715,-2.076965,-1.043731,-0.004732,0.000278,0.000000,-0.000000,1.661572,27.658126,52.776001
